food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
Ugali (Cassava),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,1,788,186,51.6,1.1,0.3,43.7,2.2,1.3,79,0.8,26,57,326,20,0.41,1,1,1,0,7,0.03,0.05,0.6,18,18,0,1.8
Yam Stew,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Yam,1,394,94,76.7,1.5,2.4,15.3,2.5,1.6,13,0.7,14,46,279,347,0.21,0,34,67,0,404,0.06,0.02,0.4,15,15,0,5.2
"Yam, flour",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Yam,1,1320,312,14,3.4,0.4,67.4,12.8,2,20,1.1,50,110,818,28,1,2,0,0,0,0,0,0,1,43,43,0,0
"Yam, white, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Yam,0.81,475,112,69,1.9,0.2,23.7,4.1,1.1,16,0.8,18,61,295,10,0.27,1,0,0,0,0,0.11,0.02,0.4,16,16,0,6
"Sweet Potatoes, pan-fried",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,1,1040,248,51.7,3.1,13.9,25.3,4.9,1.2,44,0.8,21,50,325,16,0.73,1,796,1590,0,9550,0.04,0.07,1.2,11,11,0,35.2
Githeri (Stewed Maize & Beans),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Tubers And Potatoes;Legumes,Whole Grains,Maize;Bean,1,661,157,60.4,6.7,4.2,19.7,7.2,1.8,39,2.2,41,214,281,233,1.01,2,0,1,0,2,0.1,0.06,0.8,52,52,0,0.5
Sweet Potatoes with Peanut Butter,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains;Nuts And Seeds","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Tubers And Potatoes;Nuts And Peanuts,Nuts And Seeds,Sweet potato;Groundnut,1,373,89,81.1,2.2,4.4,9.3,2.2,0.9,23,0.7,21,33,179,130,0.42,1,263,526,0,3155,0.05,0.04,1.1,10,10,0,17
Matoke with Beef (Stewed Green Bananas & Meat),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains;Meat, Poultry And Fish","Grains, White Roots And Tubers And Plantains;Meat, Poultry And Fish",Tubers And Potatoes;Red Meat,Unprocessed Red Meat,Banana;Cow,1,494,118,72.9,6,4.1,13.3,1.8,1.9,16,3.9,22,105,380,381,1.12,5,19,36,2,208,0.05,0.08,1.4,22,22,0.34,9.8
Cassava Chips,Purchased Deep-Fried Foods;White Roots And Tubers,Others,Others,Tubers And Potatoes,Deep-Fried Foods,No Species Assignment,1,0,346.5,0,1.1,25.2,10.5,3.3,0,19,0.8,10,70,243,2,0.3,1,0,6,0,0,0.1,0,0.6,15,0,0,30
Potato Chips (French Fries),Purchased Deep-Fried Foods;White Roots And Tubers,Others,Others,Tubers And Potatoes,Deep-Fried Foods,No Species Assignment,1,1370,326,32.1,4.8,13.6,44.4,3.3,1.9,17,2.7,37,159,1260,13,0.63,1,0,0,0,0,0.11,0.07,2.3,82,82,0,12
Mushenye (Green Maize and Sweet Potatoes),White Roots And Tubers;White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes;Whole Cereals,Whole Grains,Maize;Sweet potato,1,641,153,60.4,7.1,4.1,17.6,8.6,2.1,44,2.3,51,196,340,242,1.07,3,1,3,0,16,0.15,0.07,1.6,50,50,0,5.9
Cooking fat,No GDQS Assignment,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0.1,100,0,0,0,1,0,0,0,1,1,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0
Cooking Oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0.01,0,6,6,6.38,0,0,0,0,0,0,0,0
Corn oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0.01,0,6,6,6.38,0,0,0,0,0,0,0,0
Mustard seed oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0,0,1,0,0,0.01,0,1,2,0,11,0,0,0,0,0,0,0
Peanut oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0.1,1,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Red palm oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3660,891,1,0,99,0,0,0.1,6,0,0,7,0,0,0,0,5490,11000,0,65800,0.01,0.02,0,0,0,0,0
Soya bean oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3,3,2.66,0,0,0,0,0,0,0,0
Sun flower oil,Liquid Oils,Others,Others,Vegetable Oil,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Cabbage, stir-fried",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,1,411,100,82.7,1.2,8.6,3.1,2.4,1.9,48,0.6,11,43,305,510,0.24,1,0,0,0,1,0.04,0.04,0.4,11,11,0,38.6
"Capsicum (hoho) (sweet pepper), green, baked",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,98,23,93,1.6,0.1,3,2.1,0.2,8,0.6,10,18,157,2,0.19,0,26,51,0,308,0.03,0.03,0.5,6,6,0,96
"Capsicum (hoho) (sweet pepper), green, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,109,26,92.3,1.7,0.1,3.3,2.3,0.2,9,0.5,7,18,87,2,0.16,0,28,57,0,339,0.02,0.02,0.4,5,5,0,86
"Capsicum (hoho) (sweet pepper), green, grilled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,102,24,92.8,1.6,0.1,3.1,2.2,0.2,9,0.6,11,18,162,2,0.19,0,26,53,0,317,0.03,0.03,0.5,6,6,0,99
"Capsicum (Hoho) (sweet pepper), green, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,0.4,95,23,93.3,1.5,0.1,2.9,2,0.2,8,0.5,10,17,151,2,0.18,0,27,55,0,328,0.03,0.03,0.5,8,8,0,115
"Capsicum (hoho) (sweet pepper), red, baked",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,115,27,92.1,1.8,0.2,3.6,1.9,0.4,4,0.3,6,25,181,2,0.21,1,19,38,0,231,0.04,0.05,1,38,38,0,130
"Capsicum (hoho) (sweet pepper), red, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,127,30,91.3,2,0.2,4,2.1,0.5,4,0.3,4,25,100,2,0.17,1,21,42,0,254,0.03,0.04,0.7,30,30,0,117
"Capsicum (hoho) (sweet pepper), red, grilled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,118,28,91.8,1.8,0.2,3.8,1.9,0.4,4,0.3,6,26,187,2,0.22,1,20,40,0,238,0.04,0.05,1,39,39,0,134
"Capsicum (Hoho) (sweet pepper), red, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,0.4,110,26,92.4,1.7,0.2,3.5,1.8,0.4,4,0.3,6,24,174,2,0.2,1,21,41,0,246,0.04,0.05,1,52,52,0,156
"Capsicum (hoho) (sweet pepper), yellow, baked",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,90,22,93.1,1.4,0.2,2.4,2.3,0.6,20,0.7,18,45,252,2,0.27,0,13,26,0,156,0.13,0.02,0.6,22,22,0,106
"Capsicum (hoho) (sweet pepper), yellow, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,99,24,92.4,1.6,0.2,2.6,2.5,0.7,21,0.6,12,45,139,1,0.22,0,14,29,0,172,0.1,0.01,0.4,17,17,0,95
"Capsicum (hoho) (sweet pepper), yellow, grilled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,1,93,22,92.9,1.5,0.2,2.4,2.4,0.7,21,0.7,19,47,260,2,0.28,0,13,27,0,161,0.14,0.02,0.6,23,23,0,109
"Carrot, peeled, boiled",Deep Orange Vegetables,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Carrot,1,132,32,90,0.8,0.3,4.8,3.4,0.7,34,0.5,11,24,120,21,0.11,0,564,1130,0,6770,0.03,0.02,0.2,10,10,0,2
"Carrot, peeled, raw",Deep Orange Vegetables,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Carrot,0.83,124,30,90.6,0.7,0.2,4.5,3.2,0.6,33,0.6,17,25,251,35,0.14,0,589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5
"Carrot, peeled, stewed",Deep Orange Vegetables,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Carrot,1,129,31,90.2,0.8,0.2,4.7,3.4,0.7,35,0.6,17,26,261,37,0.14,0,552,1110,0,6630,0.04,0.03,0.2,13,13,0,5
"Green peas (minji), fresh, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Green pea,1,413,98,71.1,8.3,0.7,10.4,8.5,1.1,28,2.1,19,102,131,3,3.67,2,29,57,0,343,0.2,0.09,1.6,113,113,0,26.3
Jute Mallow & Pumpkin Leaves (Mrenda and Seveve),Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Jute mallow;Pumpkin,1,249,59,85.3,3.4,2.3,5.4,2,1.6,141,1.8,26,105,197,180,0.62,2,72,121,24,580,0.03,0.22,0.3,21,21,0.31,9.19
"Jute mallow (mrenda), picked leaves, boiled",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Jute mallow,1,197,47,81.4,4.9,0.2,2.2,8.7,2.6,207,5,19,84,149,14,0.46,1,205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3
"Jute mallow (mrenda), picked leaves, raw",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Jute mallow,0.48,187,45,82.3,4.6,0.2,2.1,8.3,2.5,207,6.3,30,88,283,18,0.58,1,217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5
"Jute mallow (mrenda), picked leaves, stewed",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Jute mallow,1,231,56,78.2,5.7,0.2,2.6,10.2,3.1,255,7.8,37,109,349,23,0.72,1,241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2
Mashed Pumpkin and Black Nightshade,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables;Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Pumpkin;Black nightshade,1,277,67,80.8,3.8,2.4,4.9,5.1,3,91,6.7,41,75,456,411,0.66,1,88,176,0,1050,0.09,0.27,1.4,233,233,0,21.5
"Mushroom (uyoga), dried, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Mushroom,1,674,162,49.6,7,1.6,18.5,22.4,0.8,14,2.3,47,361,93,3,3.72,0,0,0,0,0,0.09,0.06,1.4,47,47,0,0
"Mushroom (uyoga), dried, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Mushroom,1,1180,283,11.9,12.3,2.9,32.4,39.1,1.4,24,5.5,136,702,326,5,8.7,0,0,0,0,0,0.24,0.17,3.77,163,163,0,0
"Mushroom (uyoga), fresh, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Mushroom,1,203,48,85.9,3.2,0.5,6.1,3.1,1.2,21,0.3,12,129,218,8,0.17,20,0,0,0,0,0.09,0.36,0.6,16,16,0,0
"Mushroom (uyoga), fresh, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Mushroom,1,148,35,89.7,2.3,0.4,4.5,2.3,0.9,16,0.3,15,105,318,8,0.17,16,0,0,0,0,0.1,0.4,0.7,23,23,0,0
"Mushroom (uyoga), fresh, stewed",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Mushroom,1,183,43,87.3,2.8,0.5,5.5,2.8,1.1,20,0.4,19,130,393,10,0.21,20,0,0,0,0,0.11,0.47,0.8,20,20,0,0
Pumpkin Leaves,Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Pumpkin,1,410,99,80.8,3.2,6.7,5.5,1.5,2.3,166,2,51,101,236,332,0.67,2,61,107,16,548,0.03,0.16,0.6,17,17,0.24,10.7
Pumpkins with Peanut Butter,Deep Orange Vegetables,Vitamin A-Rich Fruits And Vegetables;Nuts And Seeds,Vitamin A-Rich Fruits And Vegetables;Legumes And Nuts,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Pumpkin;Groundnut,1,359,86,82.7,2.6,5.5,5.4,2.6,1.3,24,0.6,29,44,195,196,0.36,1,91,182,0,1090,0.1,0.06,1.6,26,26,0,5.5
Stewed Cowpea Leaves (Rhikhuvi),Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Cowpea,1,630,152,74.1,3.2,13.3,3.5,3.2,2.8,146,1.3,23,49,202,660,0.53,1,32,52,12,239,0.19,0.22,0.7,31,31,0.15,12.6
Stewed Kunde & Mrenda (Cowpeas Leaves and Jute Mallow),Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Cowpea;Jute mallow,1,238,57,83.5,3.7,2,4.4,3.3,3.1,158,2.4,23,93,244,761,0.64,2,84,147,21,757,0.1,0.29,0.4,38,38,0.28,13.1
"Sukumawiki, stir-fried",Cruciferous Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Kale,1,225,54,87,2.5,3.2,2.1,3.8,1.5,291,2.3,33,56,198,123,0.42,0,122,243,0,1460,0.08,0.1,0.8,35,35,0,82.1
"Terere (Amaranth), stir-fried",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Amaranth,1,342,83,80.6,3,5.3,2.9,5.5,2.7,192,4.9,87,72,442,161,0.75,14,209,418,0,2510,0.03,0.16,0.6,37,37,0,49.3
Thabai / Thaa (Stinging Nettle),Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Stinging nettle,1,143,34,92.3,1.2,2.4,1.9,0.6,1.8,132,1.4,28,26,113,312,0.14,1,0,1,0,4,0.01,0.06,0.2,62,62,0,1
Vimumunya vya Chumvi (Pumpkin & Coconut Milk),Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables;Nuts And Seeds,Vitamin A-Rich Fruits And Vegetables;Legumes And Nuts,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Pumpkin;Coconut,1,297,72,85.8,1.3,4.9,4.6,1.9,1.5,16,0.3,13,39,183,325,0.25,1,88,176,0,1060,0.05,0.05,0.6,22,22,0,5.5
Vimumunya vya Sukari (Sweetened Pumpkin & Coconut Milk),Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables;Nuts And Seeds,Vitamin A-Rich Fruits And Vegetables;Legumes And Nuts,Red And Orange,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Pumpkin;Coconut,1,390,93,79,1.1,3,14.5,1.8,0.6,14,0.3,11,31,155,15,0.21,1,81,162,0,973,0.05,0.04,0.5,19,19,0,5
"Vine (african) spinach (nderema) (African) spinach, picked leaves, boiled",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Vine spinach,1,123,30,89.9,3.6,0.7,0.2,3.9,1.7,267,8.6,25,53,234,6,0.36,0,175,349,0,2100,0.04,0.14,0.6,38,38,0,34
Vine spinach (Nderema),Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Vine spinach,1,299,72,84.7,3.2,5.2,1.4,3.5,1.9,233,9.5,37,55,389,170,0.41,0,166,313,20,1759,0.05,0.17,0.8,44,44,0,56.7
"Amaranth (terere), leaves, picked, boiled",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Amaranth,1,158,38,83.8,3.9,0.3,1.3,7.6,3.2,280,5.3,77,84,314,14,0.73,20,309,618,0,3707,0.02,0.15,0.5,34,34,0,33
"Amaranth (terere), leaves, picked, raw",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Amaranth,0.59,150,36,84.6,3.7,0.2,1.3,7.2,3.1,280,6.8,122,89,597,18,0.92,22,326,652,0,3913,0.03,0.22,0.69,64,64,0,77
"Amaranth (terere), leaves, picked, stewed",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Amaranth,1,186,45,81,4.6,0.3,1.5,8.9,3.8,346,8.3,151,110,737,22,1.14,27,362,725,0,4347,0.03,0.26,0.8,55,55,0,57
"Bitter gourd, whole, different varieties, boiled",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Bitter gourd,1,150,36,88.4,1.7,0.3,4.6,4.1,0.9,23,1.2,13,51,117,14,0.31,5,11,21,0,126,0.05,0.03,0.2,25,25,0,43
"Bitter gourd, whole, different varieties, raw",Dark Green Leafy Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Bitter gourd,0.97,135,32,89.6,1.5,0.2,4.2,3.7,0.8,22,1.4,20,51,210,16,0.37,5,11,21,0,126,0.07,0.04,0.3,45,45,0,60
"Broccoli, tops and stems, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Broccoli,1,129,31,90.1,3,0.3,2.4,3.3,0.9,56,0.6,11,61,151,15,0.41,0,20,41,0,246,0.06,0.13,0.3,22,22,0,60
"Broccoli, tops and stems, raw",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Broccoli,0.6,143,34,89,3.3,0.3,2.7,3.7,1,66,0.8,21,75,336,22,1,1,25,51,0,303,0.1,0.22,0.5,48,48,0,103
"Broccoli, tops and stems, steamed",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Broccoli,1,137,33,89.4,3.2,0.3,2.6,3.6,1,60,0.6,18,69,275,18,0.52,0,22,44,0,262,0.08,0.19,0.4,28,28,0,74
"Cabbage, leaf head, Chinese, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Chinese cabbage,1,41,10,96.9,0.9,0.3,0.4,1.1,0.4,35,1.1,6,37,128,12,0.15,0,15,29,0,174,0.02,0.03,0.3,87,87,0,8
"Cabbage, leaf head, Chinese, raw",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Chinese cabbage,0.92,40,10,97,0.9,0.3,0.4,1.1,0.4,36,1.4,10,40,250,16,0,1,16,32,0,190,0.03,0.04,0.4,170,170,0,20
"Cabbage, leaf head, Chinese, steamed",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Chinese cabbage,1,41,10,96.9,0.9,0.3,0.4,1.1,0.4,35,1.2,9,39,217,14,0.18,0,15,29,0,174,0.02,0.04,0.3,104,104,0,11
"Cabbage, leaf head, red, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,1,113,27,90.9,1.3,0.2,3.2,3.5,0.9,44,0.5,18,13,123,12,0.23,1,1,2,0,9,0.06,0.09,0.3,29,29,0,28
"Cabbage, leaf head, red, stewed",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,1,102,24,91.7,1.2,0.2,2.9,3.1,0.8,42,0.7,27,13,223,15,0.28,1,1,1,0,8,0.08,0.11,0.4,37,37,0,38
"Cabbage, leaf head, white, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,1,78,19,93.6,1.1,0.1,2.2,2.3,0.7,45,0.4,6,36,159,29,0.18,0,0,0,0,0,0.03,0.03,0.3,8,8,0,20
"Cabbage, leaf head, white, raw",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,0.78,76,18,93.8,1.1,0.1,2.2,2.2,0.7,47,0.5,9,40,313,37,0.2,1,0,0,0,0,0.04,0.04,0.4,15,15,0,50
"Cabbage, leaf head, white, stewed",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cabbage,1,82,20,93.3,1.2,0.1,2.4,2.4,0.7,50,0.5,10,43,336,40,0.25,1,0,0,0,0,0.04,0.04,0.4,11,11,0,32
"Capsicum (Hoho) (sweet pepper), yellow, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Sweet pepper,0.46,86,21,93.4,1.4,0.2,2.3,2.2,0.6,19,1,17,43,242,2,0,0,14,28,0,166,0.14,0.02,0.59,30,30,0,127
"Cauliflower, tops and stems, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cauliflower,1,79,19,93.2,2,0.2,0.9,2.8,0.9,16,0.6,6,44,146,23,0.19,0,0,0,0,1,0.04,0.06,0.3,22,22,0,46
"Cauliflower, tops and stems, raw",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Cauliflower,0.7,79,19,93.2,2,0.2,0.9,2.8,0.9,17,0.8,11,49,292,30,0,1,0,0,0,2,0.06,0.09,0.5,44,44,0,70
"Celery, stalk, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Celery,1,127,30,89.9,0.7,0.1,5.8,1.6,1.9,74,0.8,13,50,148,23,0.18,2,39,78,0,465,0.02,0.02,0.3,7,7,0,9
"Celery, stalk, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Celery,0.65,114,27,90.9,0.6,0.1,5.3,1.4,1.8,70,1,19,50,267,28,0.21,2,39,78,0,465,0.03,0.03,0.4,13,13,0,12
"Cloves, dry, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1040,251,27.6,6,10.4,16,34.5,5.4,536,14.2,253,86,877,183,1.13,8,6,13,0,78,0.08,0.13,1.2,20,20.1,0,0
"Comfrey, leaves, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Comfrey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriander Leaves, fresh, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.83,241,57,81.9,3.3,0.7,7.7,3.5,2.9,115,6.6,45,44,578,40,0.54,1,317,635,0,3810,0.3,0.1,0.9,62,62,0,35.9
"Coriander seed, dried, ground",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1430,347,10.7,13.4,18.8,10.1,41.7,5.3,613,20.1,245,347,1189,27,3.6,24.9,10,20,0,122,0.22,0.35,3.4,86,86,0,29
"Courgette, green, unpeeled, boiled",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Courgette,1,86,21,94.2,1,0.3,2.8,1.2,0.4,19,0.4,11,34,104,1,0.28,1,14,28,0,168,0.02,0.04,0.4,9,9,0,17
"Courgette, green, unpeeled, raw",Other Vegetables,Other Vegetables,Other Fruits And Vegetables,Vegetables,Other Vegetables,Courgette,0.93,78,19,94.8,0.9,0.3,2.5,1.1,0.4,18,0.5,16,34,188,1,0.33,1,23,46,0,278,0.03,0.06,0.6,17,17,0,24
"Cowpea (kunde), leaves, picked, boiled",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Cowpea,1,117,28,89.2,3.2,0.4,0.6,4.7,1.8,170,1.9,27,15,231,22,0.53,0,0,0,0,0,0.3,0.23,1,45,45,0,19
"Cowpea (kunde), leaves, picked, raw",Dark Green Leafy Vegetables,Dark Green Leafy Vegetables,Vitamin A-Rich Fruits And Vegetables,Dark Green,Dark Green Leafy Vegetables,Cowpea,0.59,123,30,88.7,3.4,0.4,0.7,4.9,1.9,188,2.7,47,17,485,31,1,1,36,72,0,0,0.49,0.37,1.6,95,95,0,50
